"unique_id","citation_context","citation_class_label"
"W01-0706_12","Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( @@CITATION@@ ; Charniak , 1997a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .","BACKGROUND"
"K15-1001_30","This was done by MERT optimization ( @@CITATION@@ ) towards post-edits under the TER target metric .","USES"
"J05-3003_25","She evaluates 3,000 German verbs with a token frequency between 10 and 2,000 against the Duden ( @@CITATION@@ ) .","BACKGROUND"
"J07-1005_41","The following four components have been identified as the key elements of a question related to patient care ( @@CITATION@@ ) :","BACKGROUND"
"J05-3003_10","@@CITATION@@ report on manually analyzing an open-class vocabulary of 35,000 head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX .","COMPARES_CONTRASTS"
"E03-1005_39","This is roughly an 11 % relative reduction in error rate over @@CITATION@@ and Bods PCFG-reduction reported in Table 1 .","COMPARES_CONTRASTS"
"P10-2059_16","Finally , feedback expressions ( head nods and shakes ) are successfully predicted from speech , prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication ( Fujie et al. , 2004 ; @@CITATION@@ ; Morency et al. , 2007 ; Morency et al. , 2009 ) .","BACKGROUND"
"J13-1008_2","We use the agreement checker code developed by @@CITATION@@ and evaluate our baseline ( MaltParser using only CORE12 ) , best performing model ( Easy-First Parser using CORE12 + DET+LMM+PERSON+FN * NGR g + p ) , and the gold reference .","USES"
"P10-4003_8","The diagnoser , based on @@CITATION@@b ) , outputs a diagnosis which consists of lists of correct , contradictory and non-mentioned objects and relations from the student 's answer .","EXTENDS"
"J97-4003_36","The formalization of DLRs provided by @@CITATION@@ defines a formal lexical rule specification language and provides a semantics for that language in two steps : A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure 1 .","BACKGROUND"
"P06-1012_21","Similar to our previous work ( Chan and Ng , 2005b ) , we used the supervised WSD approach described in ( @@CITATION@@ ) for our experiments , using the naive Bayes algorithm as our classifier .","USES"
"D14-1076_26","Similar to ( @@CITATION@@a ) , our summarization system is , which consists of three key components : an initial sentence pre-selection module to select some important sentence candidates ; the above compression model to generate n-best compressions for each sentence ; and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences .","COMPARES_CONTRASTS"
"J05-3003_37","The extraction procedure consists of three steps : First , the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of @@CITATION@@ and Collins ( 1997 ) .","BACKGROUND"
"D11-1138_21","transition-based dependency parsing framework ( @@CITATION@@ ) using an arc-eager transition strategy and are trained using the perceptron algorithm as in Zhang and Clark ( 2008 ) with a beam size of 8 .","USES"
"J10-3007_0","But their importance has grown far beyond machine translation : for instance , transferring annotations between languages ( Yarowsky and Ngai 2001 ; Hwa et al. 2005 ; Ganchev , Gillenwater , and Taskar 2009 ) ; discovery of paraphrases ( @@CITATION@@ ) ; and joint unsupervised POS and parser induction across languages ( Snyder and Barzilay 2008 ) .","MOTIVATION"
"J07-1005_4","each relevant document is retrieved ( @@CITATION@@ ) .","USES"
"W06-3309_17","@@CITATION@@ have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques .","BACKGROUND"
"W00-1017_9","This recognizer incrementally outputs word hypotheses as soon as they are found in the best-scored path in the forward search ( @@CITATION@@ ) using the ISTAR ( Incremental Structure Transmitter And Receiver ) protocol , which conveys word graph information as well as word hypotheses .","BACKGROUND"
"W00-1017_1","The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems ( @@CITATION@@ ; Allen et al. , 1996 ; Zue et al. , 2000 ; Walker et al. , 2000 ) .","BACKGROUND"
"J09-4010_39","We posit that this would not have a significant effect on the results , in particular for MML-based classification techniques , such as Decision Graphs ( @@CITATION@@ ) .","BACKGROUND"
"E03-1005_51","@@CITATION@@ showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP1 's subtrees , reporting a 5.1 % relative reduction in error rate over the model in Collins ( 1999 ) on the WSJ .","BACKGROUND"
"W01-1510_17","Tateisi et al. also translated LTAG into HPSG ( @@CITATION@@ ) .","COMPARES_CONTRASTS"
"P05-3005_1","The system utilizes several large size biological databases including three NCBI databases ( GenPept [ 11 ] , RefSeq @@CITATION@@ , and Entrez GENE [ 13 ] ) , PSD database from Protein Information Resources ( PIR ) [ 14 ] , and","USES"
"E12-1068_17","The LM uses the monolingual data and is trained as a five-gram9 using the SRILM-Toolkit ( @@CITATION@@ ) .","USES"
"W06-1639_26","There has also been work focused upon determining the political leaning ( e.g. , `` liberal '' vs. `` conservative '' ) of a document or author , where most previously-proposed methods make no direct use of relationships between the documents to be classified ( the `` unlabeled '' texts ) ( @@CITATION@@ ; Efron , 2004 ; Mullen and Malouf , 2006 ) .","BACKGROUND"
"J86-1002_19","A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , Haton and Pierrel 1976 , Lea 1980 , @@CITATION@@ , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) .","COMPARES_CONTRASTS"
"J91-2003_14","Secondly , the cooperative principle of @@CITATION@@ , 1978 ) , under the assumption that referential levels of a writer and a reader are quite similar , implies that the writer should structure the text in a way that makes the construction of his intended model easy for the reader ; and this seems to imply that he should appeal only to the most direct knowledge of the reader .","MOTIVATION"
"J05-3003_27","In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; Bresnan 2001 ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ @@CITATION@@ ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .","BACKGROUND"
"D12-1037_40","In this paper , inspired by KNN-SVM ( @@CITATION@@ ) , we propose a local training method , which trains sentence-wise weights instead of a single weight , to address the above two problems .","MOTIVATION"
"W04-1805_9","1990 ) , on linguisitic acquisition ( by the use of Part-of-Speech filters hand-crafted by a linguist ) ( Oueslati , 1999 ) or , more frequently , on a combination of the two ( Smadja , 1993 ; @@CITATION@@ , for example ) .","COMPARES_CONTRASTS"
"J00-2014_11","@@CITATION@@ report excellent part-of-speech tagging results using a handcrafted approach that is close to OT .3 More speculatively , imagine an OT grammar for stylistic revision of parsed sentences .","BACKGROUND"
"W04-0910_6","Thus for instance , ( @@CITATION@@ ; Copestake et al. , 2001 ) describes a Head Driven Phrase Structure Grammar ( HPSG ) which supports the parallel construction of a phrase structure ( or derived ) tree and of a semantic representation and ( Dalrymple , 1999 ) show how to equip Lexical Functional grammar ( LFG ) with a glue semantics .","BACKGROUND"
"J05-3003_23","While many linguistic theories state subcategorization requirements in terms of phrase structure ( CFG categories ) , @@CITATION@@ questions the viability and universality of such an approach because of the variety of ways in which grammatical functions may be realized at the language-specific constituent structure level .","BACKGROUND"
"J91-2003_26","We are going to make such a comparison with the theories proposed by J. @@CITATION@@ , 1982 ) that represent a more computationally oriented approach to coherence , and those of T.A. van Dijk and W. Kintch ( 1983 ) , who are more interested in addressing psychological and cognitive aspects of discourse coherence .","COMPARES_CONTRASTS"
"Q13-1020_35","11 From ( @@CITATION@@ ) , we find that the performance of SAMT system is similar with the method of labeling SCFG rules with POS tags .","MOTIVATION"
"J87-3002_4","In this paper we focus on the exploitation of the LDOCE grammar coding system ; Alshawi et al. ( 1985 ) and @@CITATION@@ describe further research in Cambridge utilising different types of information available in LDOCE .","BACKGROUND"
"W06-1104_12","@@CITATION@@ observed that some annotators were not familiar with the exact definition of semantic relatedness .","MOTIVATION"
"P11-1134_16","All current approaches to monolingual TE , either syntactically oriented ( Rus et al. , 2005 ) , or applying logical inference ( Tatu and Moldovan , 2005 ) , or adopting transformation-based techniques ( @@CITATION@@ ; Bar-Haim et al. , 2008 ) , incorporate different types of lexical knowledge to support textual inference .","BACKGROUND"
