,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
1,QWEN2.5_14B,0.6702,0.6637,0.6368,0.6619,many-shot,2,2,1,0.2
2,QWEN2.5_14B,0.654,0.6637,0.6302,0.6619,many-shot,2,2,1,0.0
3,QWEN2.5_14B,0.6304,0.6687,0.6286,0.6763,few-shot,1,2,2,0.5
4,QWEN2.5_14B,0.6277,0.6637,0.6239,0.6619,few-shot,2,2,1,0.2
5,QWEN2.5_14B,0.6377,0.6681,0.6228,0.6619,few-shot,2,2,2,1.0
6,QWEN2.5_14B,0.6164,0.6644,0.6222,0.6763,few-shot,1,2,2,0.2
7,QWEN2.5_14B,0.6164,0.6644,0.6222,0.6763,few-shot,1,2,2,0.0
8,QWEN2.5_14B,0.631,0.6657,0.6215,0.6547,few-shot,2,2,2,0.5
9,QWEN2.5_14B,0.65,0.6354,0.6201,0.6691,few-shot,1,1,2,0.5
10,QWEN2.5_14B,0.6279,0.6634,0.6188,0.6475,few-shot,2,2,2,0.0
11,QWEN2.5_14B,0.6273,0.6614,0.6186,0.6547,few-shot,2,2,1,0.5
12,QWEN2.5_14B,0.6141,0.66,0.6184,0.6763,many-shot,1,2,1,0.2
13,QWEN2.5_14B,0.6141,0.66,0.6184,0.6763,many-shot,1,2,1,0.0
14,QWEN2.5_14B,0.6185,0.6538,0.6178,0.6547,many-shot,2,2,2,0.2
15,QWEN2.5_14B,0.6108,0.6597,0.6163,0.6619,few-shot,1,2,2,1.0
16,QWEN2.5_14B,0.6172,0.6497,0.6151,0.6547,many-shot,1,2,2,0.0
17,QWEN2.5_14B,0.6172,0.6497,0.6151,0.6547,many-shot,1,2,2,0.2
18,QWEN2.5_14B,0.6108,0.6577,0.615,0.6691,many-shot,1,2,1,0.5
19,QWEN2.5_14B,0.6248,0.6614,0.6142,0.6547,many-shot,2,2,1,0.5
20,QWEN2.5_14B,0.6166,0.6497,0.6142,0.6547,many-shot,1,2,2,0.5
21,QWEN2.5_14B,0.6286,0.6571,0.6127,0.6547,many-shot,2,2,1,1.0
22,QWEN2.5_14B,0.6132,0.6474,0.6108,0.6475,many-shot,2,2,2,0.0
23,QWEN2.5_14B,0.6088,0.6536,0.6104,0.6691,few-shot,3,2,2,1.0
24,QWEN2.5_14B,0.6089,0.6567,0.6057,0.6403,few-shot,2,2,2,0.2
25,QWEN2.5_14B,0.6175,0.6304,0.6039,0.6547,few-shot,2,2,1,1.0
26,QWEN2.5_14B,0.5975,0.6449,0.6024,0.6547,few-shot,3,2,2,0.0
27,QWEN2.5_14B,0.611,0.6304,0.6017,0.6547,few-shot,2,2,1,0.0
28,QWEN2.5_14B,0.6409,0.6216,0.6008,0.6403,few-shot,2,1,2,0.2
