unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
W06-1104_27,"@@CITATION@@ reported a correlation of r = .9026.10 The results are not directly comparable , because he only used noun-noun pairs , words instead of concepts , a much smaller dataset , and measured semantic similarity instead of semantic relatedness .",COMPARES_CONTRASTS,COMPARES_CONTRASTS,"compares_contrasts

the citation is"
P13-3018_2,"Similar observation for surface word frequency was also observed by ( Bertram et al. , 2000 ; @@CITATION@@ ; Burani et al. , 1987 ; Burani et al. , 1984 ; Schreuder et al. , 1997 ; Taft 1975 ; Taft , 2004 ) where it has been claimed that words having low surface frequency tends to decompose .",BACKGROUND,BACKGROUND,background
J10-3007_37,"But their importance has grown far beyond machine translation : for instance , transferring annotations between languages ( @@CITATION@@ ; Hwa et al. 2005 ; Ganchev , Gillenwater , and Taskar 2009 ) ; discovery of paraphrases ( Bannard and Callison-Burch 2005 ) ; and joint unsupervised POS and parser induction across languages ( Snyder and Barzilay 2008 ) .",MOTIVATION,MOTIVATION,"motivation

this citation is highlighting the motiv"
W06-1639_18,"Previous sentiment-analysis work in different domains has considered inter-document similarity ( Agarwal and Bhattacharyya , 2005 ; Pang and Lee , 2005 ; @@CITATION@@ ) or explicit",BACKGROUND,BACKGROUND,"background

this citation refers to previous research"
J92-1004_16,"However , the method we are currently using in the ATIS domain ( @@CITATION@@ ) represents our most promising approach to this problem .",USES,USES,"uses

the citation indicates that the current method being used"
W06-2807_13,"Henceforth the collaborative traits of blogs and wikis ( @@CITATION@@ ) emphasize annotation , comment , and strong editing .",BACKGROUND,BACKGROUND,background
N01-1006_11,The ICA system ( @@CITATION@@ ) aims to reduce the training time by introducing independence assumptions on the training samples that dramatically reduce the training time with the possible downside of sacrificing performance .,BACKGROUND,EXTENDS,"d) extends

the citation discusses an"
W00-1017_20,"To this end , several toolkits for building spoken dialogue systems have been developed ( Barnett and Singh , 1997 ; @@CITATION@@ ) .",BACKGROUND,USES,"uses

this citation indicates that the toolkits mentioned"
W01-0706_3,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; @@CITATION@@ ; Tjong Kim Sang and Buchholz , 2000 ) .",BACKGROUND,EXTENDS,"extends

the citation references progress in the field related"
W06-1639_20,"Task properties Determining whether or not a speaker supports a proposal falls within the realm of sentiment analysis , an extremely active research area devoted to the computational treatment of subjective or opinion-oriented language ( early work includes Wiebe and Rapaport ( 1988 ) , @@CITATION@@ , Sack ( 1994 ) , and Wiebe ( 1994 ) ; see Esuli ( 2006 ) for an active bibliography ) .",BACKGROUND,MOTIVATION,"motivation

the citation references the field of sentiment"
