Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5043,0.5137,0.496,0.5324
GEMMA2-2B,0.315,0.2624,0.2698,0.4748
GEMMA2-9B,0.5608,0.5273,0.5342,0.6115
LLAMA3.1,0.4454,0.3119,0.3334,0.4604
LLAMA3.2_1B,0.2108,0.1525,0.1391,0.1583
LLAMA3.2_3B,0.3759,0.0989,0.1543,0.1799
LLAMA3,0.4174,0.3291,0.2948,0.3741
MISTRAL_NEMO,0.5095,0.4952,0.4803,0.6187
PHI3.5_MINI,0.4522,0.2832,0.2931,0.3309
PHI3_MEDIUM,0.2444,0.093,0.1264,0.2374
QWEN2.5_14B,0.6227,0.6098,0.5801,0.6403
QWEN2,0.4831,0.3936,0.393,0.4173
