unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
W06-1104_27,"@@CITATION@@ reported a correlation of r = .9026.10 The results are not directly comparable , because he only used noun-noun pairs , words instead of concepts , a much smaller dataset , and measured semantic similarity instead of semantic relatedness .",COMPARES_CONTRASTS,,"in the cited work by @@citation@@, they"
P13-3018_2,"Similar observation for surface word frequency was also observed by ( Bertram et al. , 2000 ; @@CITATION@@ ; Burani et al. , 1987 ; Burani et al. , 1984 ; Schreuder et al. , 1997 ; Taft 1975 ; Taft , 2004 ) where it has been claimed that words having low surface frequency tends to decompose .",BACKGROUND,,class: word frequency and lexical processing in language compre
J10-3007_37,"But their importance has grown far beyond machine translation : for instance , transferring annotations between languages ( @@CITATION@@ ; Hwa et al. 2005 ; Ganchev , Gillenwater , and Taskar 2009 ) ; discovery of paraphrases ( Bannard and Callison-Burch 2005 ) ; and joint unsupervised POS and parser induction across languages ( Snyder and Barzilay 2008 ) .",MOTIVATION,,class: multilingual natural language processing tools
W06-1639_18,"Previous sentiment-analysis work in different domains has considered inter-document similarity ( Agarwal and Bhattacharyya , 2005 ; Pang and Lee , 2005 ; @@CITATION@@ ) or explicit",BACKGROUND,,"class sentimentanalysis. similarityevaluation, which involves"
J92-1004_16,"However , the method we are currently using in the ATIS domain ( @@CITATION@@ ) represents our most promising approach to this problem .",USES,,the statement seems to refer to a specific technique or algorithm that is being
W06-2807_13,"Henceforth the collaborative traits of blogs and wikis ( @@CITATION@@ ) emphasize annotation , comment , and strong editing .",BACKGROUND,,"class: web-based collaboration tools

web-based"
N01-1006_11,The ICA system ( @@CITATION@@ ) aims to reduce the training time by introducing independence assumptions on the training samples that dramatically reduce the training time with the possible downside of sacrificing performance .,BACKGROUND,,the intelligent causal assumption system (ica)
W00-1017_20,"To this end , several toolkits for building spoken dialogue systems have been developed ( Barnett and Singh , 1997 ; @@CITATION@@ ) .",BACKGROUND,,class: natural language processing tools for spoken dialogue systems.
W01-0706_3,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; @@CITATION@@ ; Tjong Kim Sang and Buchholz , 2000 ) .",BACKGROUND,,the aforementioned text discusses the progress made in using statistical
W06-1639_20,"Task properties Determining whether or not a speaker supports a proposal falls within the realm of sentiment analysis , an extremely active research area devoted to the computational treatment of subjective or opinion-oriented language ( early work includes Wiebe and Rapaport ( 1988 ) , @@CITATION@@ , Sack ( 1994 ) , and Wiebe ( 1994 ) ; see Esuli ( 2006 ) for an active bibliography ) .",BACKGROUND,,"the task described involves sentiment analysis, specifically focused on understanding the speaker'"
W06-1104_25,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( @@CITATION@@ ; Jiang and Conrath , 1997 ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,,various methods have been proposed to compute the semantic relatedness of words
W05-0709_17,"Both tasks are performed with a statistical framework : the mention detection system is similar to the one presented in ( Florian et al. , 2004 ) and the coreference resolution system is similar to the one described in ( @@CITATION@@ ) .",COMPARES_CONTRASTS,,class: natural language processing (nlp) applications involving information extra
D08-1007_56,The advantage of tuning similarity to the application of interest has been shown previously by @@CITATION@@ .,COMPARES_CONTRASTS,,"according to [smith et al., 2018](https"
J91-2003_5,"Although there are other discussions of the paragraph as a central element of discourse ( e.g. @@CITATION@@ , Halliday and Hasan 1976 , Longacre 1979 , Haberlandt et al. 1980 ) , all of them share a certain limitation in their formal techniques for analyzing paragraph structure .",COMPARES_CONTRASTS,,although there are various discussions on the significance of paragraphs as central
W01-0706_31,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; @@CITATION@@ ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .",BACKGROUND,,"thus, over the past few years, advances in learning and statistical"
P07-1068_26,"We experiment with four learners commonly employed in language learning : Decision List ( DL ) : We use the DL learner as described in Collins and Singer ( 1999 ) , motivated by its success in the related tasks of word sense disambiguation ( @@CITATION@@ ) and NE classification ( Collins and Singer , 1999 ) .",MOTIVATION,,"in this experiment, we explore four different learning algorithms commonly used in language"
P02-1001_29,"A central technique is to define a joint relation as a noisy-channel model , by composing a joint relation with a cascade of one or more conditional relations as in Fig. 1 ( @@CITATION@@ ; Knight and Graehl , 1998 ) .",BACKGROUND,,a central technique for capturing complex interactions between variables is to define a
D08-1004_8,"We use the same set of binary features as in previous work on this dataset ( Pang et al. , 2002 ; @@CITATION@@ ; Zaidan et al. , 2007 ) .",USES,,the sentence you provided is discussing a common methodology used for feature
W06-1639_7,"Our classification framework , directly inspired by @@CITATION@@ , integrates both perspectives , optimizing its labeling of speech segments based on both individual speech-segment classification scores and preferences for groups of speech segments to receive the same label .",USES,,the sentence provided pertains to a methodology in computational linguistics
J13-1008_18,"As for work on Arabic ( MSA ) , results have been reported on the PATB ( Kulick , Gabbard , and Marcus 2006 ; Diab 2007 ; @@CITATION@@ ) , the Prague Dependency Treebank ( PADT ) ( Buchholz and Marsi 2006 ; Nivre 2008 ) and the CATiB ( Habash and Roth 2009 ) .",BACKGROUND,,"as for work on arabic ( modern standard arabic), results have"
J02-3002_28,"For instance , @@CITATION@@ report that the SATZ system ( decision tree variant ) was trained on a set of about 800 labeled periods , which corresponds to a corpus of about 16,000 words .",COMPARES_CONTRASTS,,"according to a study by @@citation@@, the s"
P11-1134_35,"One possible direction is to consider linguistically motivated approaches , such as the extraction of syntactic phrase tables as proposed by ( @@CITATION@@ ) .",FUTURE,,"indeed, considering linguistically-motivated approaches can be benef"
N10-1084_8,"Later works , such as Atallah et al. ( 2001a ) , @@CITATION@@ , Taskiran et al. ( 2006 ) and Topkara et al. ( 2006b ) , further made use of part-ofspeech taggers and electronic dictionaries , such as WordNet and VerbNet , to increase the robustness of the method .",BACKGROUND,,class: natural language processing/computational linguistics/information
J86-1002_15,"A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , @@CITATION@@ , Lea 1980 , Lowerre and Reddy 1980 , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) .",COMPARES_CONTRASTS,,class: speech recognition systems development trends (19
E03-1002_15,"The bottom panel of table 1 lists the results for the chosen lexicalized model ( SSN-Freq > 200 ) and five recent statistical parsers ( Ratnaparkhi , 1999 ; Collins , 1999 ; Charniak , 2000 ; @@CITATION@@ ; Bod , 2001 ) .",COMPARES_CONTRASTS,,the bottom panel of table 1 compares the results achieved by a
W03-0806_13,"The basic Python reflection has already been implemented and used for large scale experiments with POS tagging , using pyMPI ( a message passing interface library for Python ) to coordinate experiments across a cluster of over 100 machines ( @@CITATION@@ ; Clark et al. , 2003 ) .",BACKGROUND,,reflection in the context of python involves introspection and metapro
P97-1063_9,"This imbalance foils thresholding strategies , clever as they might be ( Gale & Church , 1991 ; Wu & Xia , 1994 ; @@CITATION@@ ) .",BACKGROUND,,"the sentence belongs to the class of ""technology and methods"
W01-0706_23,"Training was done on the Penn Treebank ( @@CITATION@@ ) Wall Street Journal data , sections 02-21 .",USES,,"the training of natural language processing models, specifically those involved in parsing and"
P11-1134_11,We performed Latent Semantic Analysis ( LSA ) over Wikipedia using the jLSI tool ( @@CITATION@@ ) to measure the relatedness between words in the dataset .,USES,,class: information retrieval or natural language processing.
D12-1027_11,"For example , our previous work ( @@CITATION@@ ; Nakov and Ng , 2012 ) experimented with various techniques for combining a small bi-text for a resource-poor language ( Indonesian or Spanish , pretending that Spanish is resource-poor ) with a much larger bi-text for a related resource-rich language ( Malay or Portuguese ) ; the target language of all bi-texts was English .",COMPARES_CONTRASTS,,"our previous study, as shown in nakov and ng (20"
W06-1104_20,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( @@CITATION@@ ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; Jiang and Conrath , 1997 ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,,various approaches for computing semantic relatedness of words or concepts have been
D13-1115_14,"Another line of research approaches grounded language knowledge by augmenting distributional approaches of word meaning with perceptual information ( Andrews et al. , 2009 ; Steyvers , 2010 ; Feng and Lapata , 2010b ; Bruni et al. , 2011 ; Silberer and Lapata , 2012 ; Johns and Jones , 2012 ; @@CITATION@@a ; Bruni et al. , 2012b ; Silberer et al. , 2013 ) .",BACKGROUND,,another line of research aims to enhance distributional approaches in understanding
W06-1104_6,@@CITATION@@ replicated the experiment of Rubenstein and Goodenough with the original 65 word pairs translated into German .,BACKGROUND,,"in their study, rubenstein and goodenough originally conducted an"
P00-1012_6,"One approach to this more general problem , taken by the ` Nitrogen ' generator ( @@CITATION@@a ; Langkilde and Knight , 1998b ) , takes advantage of standard statistical techniques by generating a lattice of all possible strings given a semantic representation as input and selecting the most likely output using a bigram language model .",USES,,class: natural language generation (nlg) for chemistry domain.
W05-0709_7,"where mk is one mention in entity e , and the basic model building block PL ( L = 1 | e , mk , m ) is an exponential or maximum entropy model ( @@CITATION@@ ) .",USES,,class: text mining / machine learning / natural language processing (
J09-4010_29,"13 We also employed sequence-based measures using the ROUGE tool set ( @@CITATION@@ ) , with similar results to those obtained with the word-by-word measures .",USES,,the text discusses the utilization of both sequence-based and word
W06-3309_9,"Second , using continuous distributions allows us to leverage a variety of tools ( e.g. , LDA ) that have been shown to be successful in other fields , such as speech recognition ( @@CITATION@@ ) .",BACKGROUND,,"third, utilizing continuous distribution methods enables the integration of various machine learning"
J13-1008_16,"In this section , we validate the contribution of key tag sets and morphological features -- and combinations thereof -- using a different parser : the Easy-First Parser ( @@CITATION@@ ) .",USES,,"title: validating key tag sets, morphological features"
N04-2004_11,"The typical solution to the redundancy problem is to group verbs according to their argument realization patterns ( @@CITATION@@ ) , possibly arranged in an inheritance hierarchy .",COMPARES_CONTRASTS,,"in natural language processing and computational linguistics, one of the ways to"
J91-2003_25,"Later , @@CITATION@@ , 1982 ) proposed a knowledge base in which information about language and the world would be encoded , and he emphasized the need for using `` salience '' in choosing facts from this knowledge base .",BACKGROUND,,class: natural language processing (nlp) & artificial
W00-1312_3,Another technique is automatic discovery of translations from parallel or non-parallel corpora ( @@CITATION@@ ) .,BACKGROUND,,class: machine translation and multilingual natural language processing (
W04-1805_2,ASARES is presented in detail in ( @@CITATION@@ ) .,USES,,class: the american statistical association's research interest groups (
J91-2003_20,"Opposition ( called `` adversative '' or `` contrary-to-expectation '' by @@CITATION@@ ; cfXXX also Quirk et al. 1972 , p. 672 ) .",BACKGROUND,,"the term ""opposition"" in this context could be classified as"
W04-1805_8,A number of applications have relied on distributional analysis ( @@CITATION@@ ) in order to build classes of semantically related terms .,BACKGROUND,,distributional analysis is a method that has been widely used in natural language
J13-1008_39,"Previous work with MaltParser in Russian , Turkish , and Hindi showed gains with CASE but not with agreement features ( Eryigit , Nivre , and Oflazer 2008 ; Nivre , Boguslavsky , and Iomdin 2008 ; @@CITATION@@ ) .",COMPARES_CONTRASTS,,"previous research on maltparser involving russian, turkish, and h"
J97-4003_46,"Consider , for example , the lexical rule in Figure 2 , which encodes a passive lexical rule like the one presented by @@CITATION@@ , 215 ) in terms of the setup of Pollard and Sag ( 1994 , ch .",COMPARES_CONTRASTS,,according to pollard & sag's research on lexical
J09-4010_46,"Two applications that , like help-desk , deal with question -- answer pairs are : summarization of e-mail threads ( Dalli , Xia , and Wilks 2004 ; @@CITATION@@ ) , and answer extraction in FAQs ( Frequently Asked Questions ) ( Berger and Mittal 2000 ;",COMPARES_CONTRASTS,,"two applications that deal with question-answer pairs, similar to helpdes"
D13-1115_26,"The language grounding problem has received significant attention in recent years , owed in part to the wide availability of data sets ( e.g. Flickr , Von Ahn ( 2006 ) ) , computing power , improved computer vision models ( Oliva and Torralba , 2001 ; Lowe , 2004 ; @@CITATION@@ ; Parikh and Grauman , 2011 ) and neurological evidence of ties between the language , perceptual and motor systems in the brain ( Pulverm Â¨ uller et al. , 2005 ; Tettamanti et al. , 2005 ; Aziz-Zadeh et al. , 2006 ) .",BACKGROUND,,the language grounding problem has garnered substantial interest due to the
Q13-1020_1,"In addition , we find that the Bayesian SCFG grammar can not even significantly outperform the heuristic SCFG grammar ( @@CITATION@@ ) 5 .",COMPARES_CONTRASTS,,class: machine learning and natural language processing techniques
W01-1510_19,"There are several grammars developed in the FB-LTAG formalism , including the XTAG English grammar , a large-scale grammar for English ( The XTAG Research @@CITATION@@ ) .",BACKGROUND,,class: natural language processing (nlp) and computational l
A00-2022_15,"Although the approach may have potential , the shifting of complex accounting into the unification algorithm is at variance with the findings of @@CITATION@@ , who report large speed-ups from the elimination of disjunction processing during unification .",COMPARES_CONTRASTS,,"although the proposed approach has promise, it contradicts the findings reported"
J10-3007_34,"For the task of unsupervised dependency parsing , @@CITATION@@ add a constraint of the form `` the average length of dependencies should be X '' to capture the locality of syntax ( at least half of the dependencies are between adjacent words ) , using a scheme they call structural annealing .",BACKGROUND,,"in unsupervised dependency parsing, incorporating constraints on the average length"
A00-1016_5,"The speech and language processing architecture is based on that of the SRI CommandTalk system ( @@CITATION@@ ; Stent et a. , 1999 ) .",USES,,"based on the provided information, the class can be categorized as """
P11-1134_21,"Second , in line with the findings of ( @@CITATION@@ ) , the results obtained over the MT-derived corpus are equal to those we achieve over the original RTE3 dataset ( i.e. 63.50 % ) .",COMPARES_CONTRASTS,,"class: information/reporting findings
reasoning: this"
W06-1104_14,"Therefore , inter-subject correlation is lower than the results obtained by @@CITATION@@ .",COMPARES_CONTRASTS,,the statement suggests that when comparing inter-subject correlation with another method or
N04-2004_21,"There is a general consensus among theoretical linguists that the proper representation of verbal argument structure is event structure -- representations grounded in a theory of events that decompose semantic roles in terms of primitive predicates representing concepts such as causality and inchoativity ( Dowty , 1979 ; Jackendoff , 1983 ; Pustejovsky , 1991b ; Rappaport @@CITATION@@ ) .",BACKGROUND,,"class: linguistics / semantics

this statement relates"
J00-4001_32,"For example , some similar measures have been used in stylistic experiments in information retrieval on the basis of a robust parser built for information retrieval purposes ( @@CITATION@@ ) .",BACKGROUND,,the sentence you provided is discussing the use of certain similarity measures within
D08-1039_12,"The resulting training procedure is analogous to the one presented in ( Brown et al. , 1993 ) and ( @@CITATION@@ ) .",COMPARES_CONTRASTS,,"the resulting training procedure is similar to that of brown et al.,"
J92-1004_28,"successfully parses , or until a quitting criterion is reached , such as an upper bound on N. Whereas in the loosely coupled system the parser acts as a filter only on completed candidate solutions ( @@CITATION@@ ) , the tightly coupled system allows the parser to discard partial theories that have no way of continuing .",USES,,the main difference between these two systems lies in how they handle incomplete or
Q13-1020_32,@@CITATION@@ substituted the non-terminal X in hierarchical phrase-based model by extended syntactic categories .,COMPARES_CONTRASTS,,"the ""@@citation@@"" notation suggests that a specific reference"
J01-4001_19,"Much of the earlier work in anaphora resolution heavily exploited domain and linguistic knowledge ( @@CITATION@@ ; Carter 1987 ; Rich and LuperFoy 1988 ; Carbonell and Brown 1988 ) , which was difficult both to represent and to process , and which required considerable human input .",BACKGROUND,,this statement highlights that earlier anaphora resolution research relied heavily
W06-2807_3,"The paradigm is `` write many , read many '' ( @@CITATION@@ ) .",BACKGROUND,,"in the ""write-many, read-many"" paradigm"
