Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.481,0.1432,0.1981,0.1295
LLAMA3.1,0.541,0.4001,0.4308,0.5827
LLAMA3.2_1B,0.2379,0.211,0.1614,0.1367
LLAMA3.2_3B,0.5057,0.3801,0.4007,0.5396
MISTRAL_NEMO,0.4699,0.413,0.4059,0.4964
PHI3.5_MINI,0.3505,0.3248,0.3174,0.4964
PHI3_MEDIUM,0.4638,0.4346,0.4223,0.4676
GEMMA2-2B,0.3438,0.2849,0.2708,0.3453
GEMMA2-9B,0.559,0.509,0.5069,0.5971
GEMMA2-27B,0.5009,0.4753,0.482,0.6187
QWEN2,0.617,0.3629,0.4211,0.5036
QWEN2.5_14B,0.6313,0.5774,0.5817,0.6619
