Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5076,0.4319,0.4359,0.5683
GEMMA2-2B,0.4819,0.3351,0.3594,0.4748
GEMMA2-9B,0.5426,0.4899,0.4935,0.5899
LLAMA3.1,0.4912,0.3144,0.3469,0.518
LLAMA3.2_1B,0.0031,0.0286,0.0056,0.0072
LLAMA3.2_3B,0.3085,0.2349,0.2414,0.2518
LLAMA3,0.5133,0.3284,0.3729,0.4892
MISTRAL_NEMO,0.4497,0.2834,0.2826,0.4388
PHI3.5_MINI,0.4855,0.3904,0.3959,0.4748
PHI3_MEDIUM,0.2347,0.101,0.1286,0.2662
QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691
QWEN2,0.5188,0.4509,0.4457,0.5396
