unique_id,citation_context,citation_class_label,predicted_classes
8e8e19bf6e9d7bcf921e91f369a140da2e86bfa3>None_0,"Therefore, we can compare our findings only with the data obtained by @@CITATION@@ who obtained them in a way similar to the present study.",results comparison,results comparison
891bcbe15cb6e49c2d95d9de5af618771aa2ea12>facd81eed1e7851736b2213402e1cd523135cb83_1,"…as an ocs element (Bouchez et al. 1989; Lam et al. 1989), which was first characterized in the promoter of the Agrobacterium ocs gene and subsequently found to regulate the expression of a number of other plant genes (Chen and Singh 1999; @@CITATION@@; Foley et al. 2006; Ulmasov et al. 1994).",background information,background information
a33b22565c6579e2d728d755be0b31111bb98981>1a454884d27fd063878dadecd0054e862fe63d52_1,"After secondary review, 93 studies were included in the final report@@CITATION@@ There were no randomized clinical trials.",method,method
e416e3d6270dd447dfa1d88f73051fd579c9b67b>dfca83f6f672c44356e8ec6be30a2d50a686c7c6_17,"Another signi®cant result described in this report is the similarity of mNudE-L with the A. nidulans, mouse and rat NudE proteins (E®mov and Morris, 2000@@CITATION@@00).",background information,background information
1a8e2dac8bf06a7a2db9b9928b442921efa69061>533fdd3ebedaa0fdee7760ecbe828c9c4e11af08_4,"This was expected, as the literature has shown that ethylene has an inhibitory effect on some forms of growth, such as internode elongation (e.g. @@CITATION@@) and hypocotyl elongation (e.g. Pierik et al., 2006).",results comparison,background information
33780743b0d4fd2f73d4618f1fa6d833f3a6c1bb>6d8ce1bedc01f4020fe403a8e2237278bb664f07_0,"@@CITATION@@, is fast and simple to apply as positioning and irradiation can be performed in a short time.",background information,method
769a6d671e10526778c9cd5ddfb2fed87a44fe84>da62d4186fb8cdf691f8ff7d49b4e4b5e95f8210_0,"Then, for each DCT band, the parity bit stream is structured into sub-blocks of size MN 16P bits (one for each convolutional encoder) @@CITATION@@, where M × N is the spatial resolution of the frames and 16 is the number of pixels per block.",method,method
5b1930e7a3dc935871744adf631afa2d91b72ce6>3da92ebf5f495202bb4ebf09480d94083a944b48_0,"Briefly, i@@CITATION@@-transduced cells were seeded onto 24-well culture plates (Thermo Fisher Scientific, 353047) or coverslips (Thermo Fisher Scientific, 12-545- 81) at a density of 30,000 cells/cm2 in proliferation media.",method,method
5227ec6b6b9e6630d3eec53e8784b1d43b97febf>61ba484c3fd142d5ddf606eae1a549fe29594208_12,"1a), or individually via sharp electrode penetration within the ganglia @@CITATION@@.",background information,method
c205bb07693aa921b3426041c5cfefefac531147>427387a9fbe2eece056ba0190e6212c91128aa16_0,"In addition, this study is also consistent with the results of the Colleoni et al @@CITATION@@ that more vessel invasions and HER2 overexpresed tumors were more frequently found in breast cancer occurred in patients of young age.",results comparison,results comparison
a987290394cf4476ea4f55f3f7bb427ff5cebf34>0c610357d8682ecc3239863bf0ccf9c8d9090381_7,"However, elevated levels of Fe (1537 mg/kg) and Cd (31.23 mg/kg) in agricultural soil samples (dry weight) were detected by @@CITATION@@ in India.",background information,background information
e2b2d980eca45afade166f1319e17816b6b77431>dfd16c90cae7741d0eb7642b968690b59d3e24dc_0,This pattern of response is consistent with previous results reported in the literature (@@CITATION@@; MacPhail et al. 2009; Padilla et al. 2011).,results comparison,background information
812e50bdbc19a822b0619ea835bed77415782d4b>5f19115ea3ee17d6d2a9288412fc6165932cea91_0,"…Ranomafana National Park in 1992–1993 and Vohibola III in 2003–2005, research on temporal and geographic variations in fruit availability led us to question the unimodal relationship to activity patterns of Cheirogaleus major (Ganzhorn et al., 1999; Hemingway, 1998@@CITATION@@02; Overdorff, 1991).",background information,background information
606afa5f79ddb24006150312aa6abebf1e9cf895>316aad16218b678d51cee21ab7ccd8c43225c372_0,The frequency of this behavior is of concern because of its potential association with impaired metabolic control and diabetes-related medical complications @@CITATION@@.,background information,background information
534ec38aebe630aedab7c419ef74629a40c90f17>2eb2b96d036dc86dc029babd3ed37ec0625c9d96_0,"(ii) Velocity dependence of the sliding stress σs: For various types of such rough/rough multicontact interfaces (polymer glasses [2], rocks @@CITATION@@, paper [6]) the analysis of the sliding dynamics has led to conclude that, for ẋ typically in the 1–100 μm.",background information,background information
ed097a708b9fea355ce7ff8249e9a120ba55795a>689826f096e33d8ad004ff7602c5ad414082f403_0,"Methods such as SBDS @@CITATION@@ avoid this problem but adding constraints to a model does not, so measuring the search effort to find a solution would not be a meaningful way of evaluating the new encoding.",method,method
3fa960ca4f2ba74ba1e708118dd4834d88c73ae2>7ce462fc78720202440da1c1c35fe446bca0ebdb_0,"@@CITATION@@ support this idea: only patients with DGF requiring more than one-time dialysis had an increased risk for death, lower renal function and higher incidence of acute rejections during the first perioperative year.",background information,background information
321dcd4b4a7cf88b2bbd4e63cff900128d12ed8e>e5c3206ae08906b7f04a152206ac0164b577da81_0,"In order to activate reporter gene expression, we first treated the cells with H2O2/vanadate (pervanadate), which causes rapid and efficient STAT92E phosphorylation @@CITATION@@ (Figure S5A) and is more efficient than transient transfection of hop in activating STAT.",method,background information
f5a8e7aca6bc5c40f960f181bbc91a4655af85ea>7e46b87bde7bbc01bccef88ce45b7dc3a761b173_1,"This suggestion is consistent with the current eye gaze literature, which indicates that human infants orient toward and increase their looking times at conspecific eyes that are directed toward them [@@CITATION@@].",results comparison,background information
4b2c003b7eb683476f96b2e653676c6cfcb8da28>272216c1f097706721096669d85b2843c23fa77d_0,Most of the training parameters were fixed for all experiments: @@CITATION@@ [17] was used for optimisation with a learning rate of 10‚àí4 and asynchronous updates on 16 threads using the Hogwild! algorithm [23]; the initial halting unit bias mentioned in Equation (5) was 1; and the term from Equation (7) was 0.01.,method,method
c50d614b89e084ccf8aa5b7b37c96a5b24237471>None_0,"This type of extensive calcification within the lungs was first described by @@CITATION@@ Biressi and Casassa (1956), Finkbiner, Decker, and Cooper (1957), Greenberg (1957), and Chinachoti and Tangchai (1957).",background information,background information
233976cd2a9382286152a6ed45b70afe5810469e>5250431a76691c3c719391c8588eef9934e1457e_2,"In vitro studies have showed that Cd suppressed the viability of P. monodon haemocytes (@@CITATION@@; Xian et al. 2013), which could preliminarily explain the loss of haemocytes caused by environmental Cd. Oxidative stress is known to be a common toxic mechanism of heavy metals on organisms…",background information,background information
1db769fa5e0618fe96e65c032666a72b7eef29f3>87aae8e283b9e8b69417bdcd5f5af7732b1b9a28_17,"In diabetes mellitus, the choice of drugs or dosages is influenced by @@CITATION@@[57] Finally, we searched for articles about 8) other chronic diseases in which reduced muscle mass (mainly due to immobility and malnutrition) can be present, which may render the MDRD formula less valid.",method,background information
6b02b2f78bb043ca5705df6d3651a149d6f7d3ed>1c91621232315fc8e3d58129a6bd4334983912b4_0,"For both analyses, we first employ a Monte Carlo sampling technique for modeling the data @@CITATION@@.",method,method
0ed4b4d6d1a0c49c4eb619aab36db559b620d99f>05270b68547a2cd5bda302779cfc5dda876ae538_0,"Similar to [15], we also applied four popular subspace learning methods including PCA, LDA, @@CITATION@@ and ONPP for appearance-based facial expression recognition with spatial misalignments.",method,method
622a35678e20d4649b2c89b87010224ef5bde454>0c208fea4d8093a86ee72529809037d25bf8b303_0,"Conceptual Model For BN model development we followed the guidelines provided by Cain (2001), Marcot et al. (2006), @@CITATION@@ and Chen and Pollino (2012).",method,background information
092f1087ab85d0c0a4e20d9e69e792359b6fca1f>c753c71eac3440c1be97ffdc8de0bd8ef6dcd9c7_0,"NSE levels are notably higher in extensive than limited stage disease (Carney et al., 1982; Johnson et al., 1984; Akoun et al., 1985; Cooper et al., 1985; @@CITATION@@ ), and our results confirm this.",results comparison,background information
1a6d1abfcb16bbd07806927bfa7b3fab7e2c4d5e>ed321b9818cddf14f656d21435858face60f2ab4_0,The nuclear-targeted cameleon calcium sensor (@@CITATION@@) was excitedwith the argon ion 458-nm laser and imaged using emission filters 476 to 486 nm for CFP and 529 to 540 nm for YFP.,method,method
18a7a2de54d998b524dc79e3b673f33d84fa257a>f319dfeca262df1919f211f0c1b5c99479cd4e5e_1,"This effect has been ascribed to relief from the inhibition of cell firing exerted by endogenous 5-HT at 5-HT1A receptors (Craven et al., 1994; @@CITATION@@; Corradetti et al., 1996; Fornal et al., 1996; Mundey et al., 1996), and the variability of responses likely results from different…",background information,background information
