Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7339,0.78,0.7469,0.7727
GEMMA2-2B,0.6166,0.6594,0.6173,0.6362
GEMMA2-9B,0.7269,0.777,0.7285,0.7495
LLAMA3.1,0.6336,0.6878,0.6285,0.6454
LLAMA3.2_1B,0.4444,0.4084,0.3527,0.3571
LLAMA3.2_3B,0.6549,0.6816,0.6642,0.6956
LLAMA3,0.6232,0.6823,0.5559,0.561
MISTRAL_NEMO,0.7413,0.7349,0.7342,0.7523
PHI3.5_MINI,0.675,0.6924,0.6771,0.7092
PHI3_MEDIUM,0.6984,0.4719,0.4655,0.629
QWEN2.5_14B,0.7481,0.7983,0.7653,0.7845
QWEN2,0.6686,0.7276,0.6644,0.6824
