unique_id,citation_context,citation_class_label,predicted_classes
2c6797dab4c118cb73197f65ba39dacc99ac743d>95c37bc99982d33873fd141ee00857160fd717a0_6,"Chapel, as well as X10 [2], @@CITATION@@ [3] , CoArray Fortran [6], and Titanium [5], rely on the Partitioned Global Address Space (PGAS) memory model, which enables The work has been performed under the HPC-EUROPA2 project (project number: 228398) with the support of the European Commission - Capacities Area - Research Infrastructures.",background information,results comparison
98a8d8c0c5dae246720d4f339b88e8a9f44e3002>bd222c7ec83dadefba513738290b3624f6dd6b21_1,"Several instruments that more specifically address patient-reported outcomes following gastrectomy are now available, albeit in Japanese @@CITATION@@, and studies using these instruments that have shown some noteworthy results are now starting to be published [25–27].",background information,results comparison
aeb178ef1910a61152cd74209c28641199c82855>754c04953c261072fa367f4104e3deff082d9484_1,Organotypic hippocampal slice cultures Interface hippocampal slice cultures were prepared as described previously (Stoppini et al. 1991; @@CITATION@@; Debanne et al. 2008).,method,method
8e8e19bf6e9d7bcf921e91f369a140da2e86bfa3>None_0,"Therefore, we can compare our findings only with the data obtained by @@CITATION@@ who obtained them in a way similar to the present study.",results comparison,results comparison
e416e3d6270dd447dfa1d88f73051fd579c9b67b>dfca83f6f672c44356e8ec6be30a2d50a686c7c6_17,"Another signi®cant result described in this report is the similarity of mNudE-L with the A. nidulans, mouse and rat NudE proteins (E®mov and Morris, 2000@@CITATION@@00).",background information,results comparison
4bbc9c70677cc834e072477c695022cc36e2ddc6>92d46601194e18ce3e81ff2089e6230ea242a2f9_3,"These data are consistent with previous reports that exposure of the developing brain to NMDA antagonists such as ketamine or PCP results in widespread and dose-dependent apoptotic neurodegeneration (Ikonomidou et al., 1999, 2001; JevtovicTodorovic et al., 2003; @@CITATION@@).",results comparison,results comparison
1a8e2dac8bf06a7a2db9b9928b442921efa69061>533fdd3ebedaa0fdee7760ecbe828c9c4e11af08_4,"This was expected, as the literature has shown that ethylene has an inhibitory effect on some forms of growth, such as internode elongation (e.g. @@CITATION@@) and hypocotyl elongation (e.g. Pierik et al., 2006).",results comparison,method
969529aceb5d315ce695793e407aba67bff244ca>f972e4627f24c1458327bed5d1cba926bffc5da9_0,"Due to the positive correlation between the development of cancer and the upregulation of Src activity, SFKs inhibitors are emerging as a promising target for anticancer therapy @@CITATION@@.",background information,background information
5b1930e7a3dc935871744adf631afa2d91b72ce6>3da92ebf5f495202bb4ebf09480d94083a944b48_0,"Briefly, i@@CITATION@@-transduced cells were seeded onto 24-well culture plates (Thermo Fisher Scientific, 353047) or coverslips (Thermo Fisher Scientific, 12-545- 81) at a density of 30,000 cells/cm2 in proliferation media.",method,background information
a4fb807c07eaf5f79ad252731b97ff4010c60956>c42ce9b622fcb0c5ff1f2c35d557a07916ac2859_0,"Specifically, we used county-level 2013 rural-urban continuum codes linked to the national mortality database to analyze rural-urban disparities in mortality and life expectancy over time.@@CITATION@@ All-cause and cause-specific mortality rates were age-adjusted by the direct method using the age composition of the 2000 US population as the standard.",method,background information
