Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7189,0.7413,0.7226,0.7501
GEMMA2-2B,0.579,0.6437,0.5157,0.5309
GEMMA2-9B,0.7859,0.6531,0.6869,0.728
LLAMA3.1,0.747,0.667,0.6949,0.7394
LLAMA3.2_1B,0.5214,0.4278,0.4242,0.5755
LLAMA3.2_3B,0.6338,0.5716,0.5791,0.6426
LLAMA3,0.6841,0.7342,0.6984,0.7129
MISTRAL_NEMO,0.7407,0.7432,0.7326,0.756
PHI3.5_MINI,0.6249,0.6398,0.6283,0.6632
PHI3_MEDIUM,0.6849,0.6391,0.6557,0.7179
QWEN2.5_14B,0.714,0.7799,0.7333,0.7458
QWEN2,0.6885,0.7363,0.7016,0.7243
