unique_id,citation_context,citation_class_label,predicted_classes
aeb178ef1910a61152cd74209c28641199c82855>754c04953c261072fa367f4104e3deff082d9484_1,Organotypic hippocampal slice cultures Interface hippocampal slice cultures were prepared as described previously (Stoppini et al. 1991; @@CITATION@@; Debanne et al. 2008).,method,method
94d1e4dad2a7207052c2d815f30c4f1478ee165e>404608f26cdd2aea2b6cb25ef145cdb4e0535cfc_2,Mouse embryonic fibroblasts (MEFs) were also infected with EOS (early transposon promoter and Oct-4 and @@CITATION@@ enhancers) lentiviral vector selection system.,method,method
e416e3d6270dd447dfa1d88f73051fd579c9b67b>dfca83f6f672c44356e8ec6be30a2d50a686c7c6_17,"Another signi®cant result described in this report is the similarity of mNudE-L with the A. nidulans, mouse and rat NudE proteins (E®mov and Morris, 2000@@CITATION@@00).",background,background
4bbc9c70677cc834e072477c695022cc36e2ddc6>92d46601194e18ce3e81ff2089e6230ea242a2f9_3,"These data are consistent with previous reports that exposure of the developing brain to NMDA antagonists such as ketamine or PCP results in widespread and dose-dependent apoptotic neurodegeneration (Ikonomidou et al., 1999, 2001; JevtovicTodorovic et al., 2003; @@CITATION@@).",result,result
33780743b0d4fd2f73d4618f1fa6d833f3a6c1bb>6d8ce1bedc01f4020fe403a8e2237278bb664f07_0,"@@CITATION@@, is fast and simple to apply as positioning and irradiation can be performed in a short time.",background,method
769a6d671e10526778c9cd5ddfb2fed87a44fe84>da62d4186fb8cdf691f8ff7d49b4e4b5e95f8210_0,"Then, for each DCT band, the parity bit stream is structured into sub-blocks of size MN 16P bits (one for each convolutional encoder) @@CITATION@@, where M × N is the spatial resolution of the frames and 16 is the number of pixels per block.",method,method
969529aceb5d315ce695793e407aba67bff244ca>f972e4627f24c1458327bed5d1cba926bffc5da9_0,"Due to the positive correlation between the development of cancer and the upregulation of Src activity, SFKs inhibitors are emerging as a promising target for anticancer therapy @@CITATION@@.",background,background
5b1930e7a3dc935871744adf631afa2d91b72ce6>3da92ebf5f495202bb4ebf09480d94083a944b48_0,"Briefly, i@@CITATION@@-transduced cells were seeded onto 24-well culture plates (Thermo Fisher Scientific, 353047) or coverslips (Thermo Fisher Scientific, 12-545- 81) at a density of 30,000 cells/cm2 in proliferation media.",method,method
a4fb807c07eaf5f79ad252731b97ff4010c60956>c42ce9b622fcb0c5ff1f2c35d557a07916ac2859_0,"Specifically, we used county-level 2013 rural-urban continuum codes linked to the national mortality database to analyze rural-urban disparities in mortality and life expectancy over time.@@CITATION@@ All-cause and cause-specific mortality rates were age-adjusted by the direct method using the age composition of the 2000 US population as the standard.",method,result
3d7251993f61009cd4df26e5bef6c4fb7ee7ac4b>f456ce411f0e83ad2e4c2cadb68918406b2bb355_1,"Removal of androgens by castration results in thymus enlargement, whereas androgen replacement accelerates CD4 CD8 thymocyte apoptosis (@@CITATION@@; Dulos and Bagchus, 2001).",background,background
