unique_id,citation_context,citation_class_label,predicted_classes
98a8d8c0c5dae246720d4f339b88e8a9f44e3002>bd222c7ec83dadefba513738290b3624f6dd6b21_1,"Several instruments that more specifically address patient-reported outcomes following gastrectomy are now available, albeit in Japanese @@CITATION@@, and studies using these instruments that have shown some noteworthy results are now starting to be published [25–27].",background information,results comparison
e4d2591ac3bb65e2ec59f092884a7b15b8018592>f0fb468a54fe8021bc7986a1618222c4fcd16df4_6,"Activated PBMC are the basis of the standard PBMC blast assay for HIV-1 neutralization, whereas the various GHOST and HeLa cell lines have all been used in neutralization assays @@CITATION@@.",background information,background information
891bcbe15cb6e49c2d95d9de5af618771aa2ea12>facd81eed1e7851736b2213402e1cd523135cb83_1,"…as an ocs element (Bouchez et al. 1989; Lam et al. 1989), which was first characterized in the promoter of the Agrobacterium ocs gene and subsequently found to regulate the expression of a number of other plant genes (Chen and Singh 1999; @@CITATION@@; Foley et al. 2006; Ulmasov et al. 1994).",background information,background information
a33b22565c6579e2d728d755be0b31111bb98981>1a454884d27fd063878dadecd0054e862fe63d52_1,"After secondary review, 93 studies were included in the final report@@CITATION@@ There were no randomized clinical trials.",method,results comparison
1a8e2dac8bf06a7a2db9b9928b442921efa69061>533fdd3ebedaa0fdee7760ecbe828c9c4e11af08_4,"This was expected, as the literature has shown that ethylene has an inhibitory effect on some forms of growth, such as internode elongation (e.g. @@CITATION@@) and hypocotyl elongation (e.g. Pierik et al., 2006).",results comparison,method
33780743b0d4fd2f73d4618f1fa6d833f3a6c1bb>6d8ce1bedc01f4020fe403a8e2237278bb664f07_0,"@@CITATION@@, is fast and simple to apply as positioning and irradiation can be performed in a short time.",background information,method
5b1930e7a3dc935871744adf631afa2d91b72ce6>3da92ebf5f495202bb4ebf09480d94083a944b48_0,"Briefly, i@@CITATION@@-transduced cells were seeded onto 24-well culture plates (Thermo Fisher Scientific, 353047) or coverslips (Thermo Fisher Scientific, 12-545- 81) at a density of 30,000 cells/cm2 in proliferation media.",method,results comparison
5f96ada12a032ce865cf863073ccd6dda7c55059>f8ff0677b7b345e96f345eafc7ea94cba90818bf_0,"disease patients who have had complete repair have a higher peak O2 compared to those have not, which is also a reflection of their better overall cardiac function @@CITATION@@.",background information,results comparison
3d7251993f61009cd4df26e5bef6c4fb7ee7ac4b>f456ce411f0e83ad2e4c2cadb68918406b2bb355_1,"Removal of androgens by castration results in thymus enlargement, whereas androgen replacement accelerates CD4 CD8 thymocyte apoptosis (@@CITATION@@; Dulos and Bagchus, 2001).",background information,background information
16e5892c875cd6d839d6fd4fb7dc1c723f942146>8001c51ee47e01725f2476bb60c26d01c99cb116_0,"We adopted the dosage of tramadol (4 mg/kg IV) based on previous reports on pharmacokinetics of an IV injection of tramadol [11, 14], a clinical study @@CITATION@@ and our clinical investigations (data was not shown) in dogs.",method,results comparison
5227ec6b6b9e6630d3eec53e8784b1d43b97febf>61ba484c3fd142d5ddf606eae1a549fe29594208_12,"1a), or individually via sharp electrode penetration within the ganglia @@CITATION@@.",background information,method
c205bb07693aa921b3426041c5cfefefac531147>427387a9fbe2eece056ba0190e6212c91128aa16_0,"In addition, this study is also consistent with the results of the Colleoni et al @@CITATION@@ that more vessel invasions and HER2 overexpresed tumors were more frequently found in breast cancer occurred in patients of young age.",results comparison,results comparison
9966271229c9020e56082c6f98bcd3f6f07c8f07>7eff550d7d9df8f7f8533886070727544dd8a458_0,"…measured immediately after each walking task. fNIRS measurement The details of the fNIRS system (OMM-2001; Shimadzu, Kyoto, Japan), which used continuous-wave laser diodes with three wavelengths of near-infrared light (780, 805, and 830 nm), are described elsewhere @@CITATION@@3).",method,results comparison
891373b6cdc72bb512bbb9c257009f4a8e9ab31f>e778198bbc17f6daa796eb7ec35a8e146b7cc74c_1,Following evidence that the predictive power of SRH for subsequent morbidity and mortality risk may vary as a function of socioeconomic status @@CITATION@@ we used a measure of financial strain as a control variable because it represents a major aspect of socioeconomic status.,method,results comparison
534ec38aebe630aedab7c419ef74629a40c90f17>2eb2b96d036dc86dc029babd3ed37ec0625c9d96_0,"(ii) Velocity dependence of the sliding stress σs: For various types of such rough/rough multicontact interfaces (polymer glasses [2], rocks @@CITATION@@, paper [6]) the analysis of the sliding dynamics has led to conclude that, for ẋ typically in the 1–100 μm.",background information,background information
7103b4c7120a4499f59c910090dffcfedc38f607>17aadf793e2236955cfdb7f28e74ec6616635dd6_2,"Given a source of prior knowledge, @@CITATION@@ [3] proposed two directions to bootstrap UCT: 1.",method,background information
24cc552089a81cbaa9fa05b0ad73c0e828bfa52a>5f2b3677fdbaa6e843401b5838ad9b1d8f927d0e_2,"Over the past nearly 2 decades, Anaplasma and Ehrlichia species have emerged as major causes of tick-transmitted diseases of humans and animals worldwide and are significant causes of human morbidity in the United States @@CITATION@@.",background information,method
3fa960ca4f2ba74ba1e708118dd4834d88c73ae2>7ce462fc78720202440da1c1c35fe446bca0ebdb_0,"@@CITATION@@ support this idea: only patients with DGF requiring more than one-time dialysis had an increased risk for death, lower renal function and higher incidence of acute rejections during the first perioperative year.",background information,results comparison
