Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6917,0.6886,0.6898,0.7496
GEMMA2-2B,0.6116,0.6872,0.5979,0.6083
GEMMA2-9B,0.6888,0.7385,0.6792,0.6948
LLAMA3.1,0.6469,0.6927,0.6205,0.6292
LLAMA3.2_1B,0.4375,0.4506,0.2824,0.2998
LLAMA3.2_3B,0.6017,0.6614,0.5748,0.5782
LLAMA3,0.6296,0.7071,0.562,0.5719
MISTRAL_NEMO,0.6697,0.7095,0.6683,0.6941
PHI3.5_MINI,0.655,0.7096,0.6467,0.6656
PHI3_MEDIUM,0.6726,0.7183,0.6235,0.6238
QWEN2.5_14B,0.7435,0.781,0.7538,0.7786
QWEN2,0.6781,0.7218,0.671,0.6937
