Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6873,0.7453,0.6997,0.7211
GEMMA2-2B,0.5858,0.6627,0.5794,0.5879
GEMMA2-9B,0.6945,0.7408,0.6865,0.7066
LLAMA3.1,0.6916,0.6008,0.6235,0.6851
LLAMA3.2_1B,0.3645,0.3298,0.2096,0.3026
LLAMA3.2_3B,0.6157,0.5755,0.5376,0.599
LLAMA3,0.6357,0.625,0.6288,0.6489
MISTRAL_NEMO,0.6416,0.6804,0.649,0.6728
PHI3.5_MINI,0.6546,0.6746,0.6343,0.6625
PHI3_MEDIUM,0.5195,0.6417,0.5738,0.7778
QWEN2.5_14B,0.7301,0.7743,0.7414,0.7636
QWEN2,0.655,0.7178,0.6483,0.6642
